from	to	combined_score
9606.ENSP00000222254	9606.ENSP00000244007	926
9606.ENSP00000225916	9606.ENSP00000498587	767
9606.ENSP00000225916	9606.ENSP00000478887	996
9606.ENSP00000227507	9606.ENSP00000354394	783
9606.ENSP00000227507	9606.ENSP00000498587	902
9606.ENSP00000227507	9606.ENSP00000478887	969
9606.ENSP00000244007	9606.ENSP00000388631	706
9606.ENSP00000244007	9606.ENSP00000263431	918
9606.ENSP00000244007	9606.ENSP00000408695	958
9606.ENSP00000261023	9606.ENSP00000458162	709
9606.ENSP00000263431	9606.ENSP00000479636	910
9606.ENSP00000263431	9606.ENSP00000388631	911
9606.ENSP00000263431	9606.ENSP00000408695	984
9606.ENSP00000292079	9606.ENSP00000349595	770
9606.ENSP00000292079	9606.ENSP00000354490	978
9606.ENSP00000292079	9606.ENSP00000356790	999
9606.ENSP00000347507	9606.ENSP00000349595	753
9606.ENSP00000347507	9606.ENSP00000386041	997
9606.ENSP00000349595	9606.ENSP00000350132	994
9606.ENSP00000350132	9606.ENSP00000356790	722
9606.ENSP00000350132	9606.ENSP00000354490	860
9606.ENSP00000354394	9606.ENSP00000478887	781
9606.ENSP00000354490	9606.ENSP00000356790	996
9606.ENSP00000364163	9606.ENSP00000498587	846
9606.ENSP00000386041	9606.ENSP00000435712	830
9606.ENSP00000388631	9606.ENSP00000479636	910
9606.ENSP00000388631	9606.ENSP00000408695	917
9606.ENSP00000408695	9606.ENSP00000458162	918
9606.ENSP00000408695	9606.ENSP00000479636	925
9606.ENSP00000427336	9606.ENSP00000444149	704
9606.ENSP00000478887	9606.ENSP00000498587	899
